100 300
1 20 99
1 21 94
1 38 25
1 79 97
1 82 98
2 6 100
2 18 97
2 21 97
2 33 93
2 44 91
2 61 91
2 86 97
2 94 98
2 94 100
3 27 5
3 31 90
3 48 1
3 64 94
3 89 99
3 99 94
4 13 99
4 21 90
4 32 98
4 32 100
4 43 99
4 69 98
4 92 92
5 7 2
5 14 91
5 23 9
5 24 7
5 28 99
5 70 99
5 84 93
6 20 3
6 21 82
6 24 7
6 32 49
6 66 90
6 83 98
6 84 98
7 41 99
7 57 98
7 69 96
7 74 91
7 86 99
7 90 5
7 100 99
8 20 94
8 34 100
8 65 92
8 65 45
8 69 91
8 94 91
9 85 95
9 91 97
10 14 91
10 16 93
10 27 97
10 60 98
10 63 9
10 64 100
11 23 95
11 46 96
11 60 95
11 62 90
11 77 93
11 83 96
11 89 93
11 94 3
12 38 95
12 43 92
12 74 91
12 99 87
13 19 99
13 31 92
13 37 100
13 91 91
14 32 97
14 33 96
14 48 93
14 59 99
14 63 3
14 100 98
15 32 91
15 40 98
15 44 34
15 46 92
15 59 52
15 60 96
15 68 95
15 89 92
15 97 90
16 17 95
16 30 99
16 75 98
16 80 77
16 98 100
17 25 100
17 35 95
17 59 99
17 61 42
18 25 99
18 32 92
18 49 76
18 72 93
18 96 99
19 29 97
19 69 99
19 72 95
19 77 97
19 86 91
19 91 90
20 61 97
20 63 95
20 79 99
21 22 91
21 25 96
21 27 6
21 30 90
21 61 96
21 87 99
22 37 90
22 41 93
22 46 8
22 87 90
22 97 93
23 60 96
23 62 91
23 85 96
24 34 98
24 40 6
24 48 92
24 54 99
24 58 93
24 78 99
24 82 93
24 86 92
24 92 94
25 34 96
25 71 96
25 74 100
25 90 74
25 94 95
26 58 99
26 72 99
26 91 93
27 37 97
27 38 95
27 100 98
28 49 94
28 69 8
28 70 99
28 91 97
29 45 98
29 53 98
29 59 90
29 69 92
29 88 99
29 90 99
30 39 93
30 53 92
30 98 90
30 99 98
31 38 98
31 39 21
31 90 94
32 41 69
32 48 92
32 65 92
33 55 95
33 64 94
34 38 97
34 64 100
34 89 97
35 55 92
35 59 91
35 68 100
35 76 98
35 87 93
36 38 98
36 68 99
37 68 92
38 67 100
38 74 94
38 90 97
39 52 97
39 53 95
39 92 96
39 98 94
40 45 93
40 51 97
40 88 97
41 46 100
41 66 93
41 81 1
41 99 91
42 48 90
42 98 93
43 50 95
43 55 91
43 74 93
43 88 90
44 52 92
44 62 93
44 75 100
45 52 99
45 57 92
45 77 90
45 82 100
45 88 82
45 97 2
46 53 93
46 54 74
46 60 95
46 66 100
46 86 2
46 87 91
46 94 31
47 48 10
47 51 97
47 76 93
47 95 97
48 69 98
48 96 96
48 96 97
49 80 98
49 92 6
50 66 7
50 69 97
50 87 12
51 56 99
51 89 92
52 60 94
52 82 62
53 59 90
53 73 7
53 75 99
54 65 91
55 92 93
56 61 97
56 61 91
56 63 99
56 67 98
56 86 96
56 93 98
57 59 1
57 67 91
57 84 98
57 90 91
58 76 97
58 79 94
58 89 99
60 94 90
61 70 90
61 81 90
61 85 93
62 72 17
62 94 93
62 99 90
63 72 94
63 82 100
63 93 90
64 71 97
66 72 96
66 78 93
66 85 92
67 72 94
67 77 98
68 69 96
68 91 2
72 75 73
72 90 95
73 98 93
74 95 9
74 98 97
75 76 100
75 79 94
75 82 98
75 90 39
76 84 93
76 100 100
77 81 91
77 95 9
78 84 3
78 87 93
80 87 92
82 91 97
82 100 8
83 87 95
85 88 99
85 91 97
85 95 94
85 97 92
86 87 96
86 95 99
87 100 99
89 100 100
90 100 40
92 97 46
20
5 24
34 39
98 40
87 48
55 14
52 21
44 34
59 46
56 21
45 8
72 29
77 31
86 35
29 38
80 6
35 48
81 16
31 10
82 3
61 12
